record_id,category,ground_truth,ml_prediction,br_prediction,outcome
351,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
65,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
914,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
432,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
989,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
867,EXTREME_AMOUNT,1,1,1,BOTH_DETECTED
859,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
465,EXTREME_AMOUNT,1,0,1,BR_ONLY
678,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
536,EXTREME_AMOUNT,1,0,1,BR_ONLY
25,EXTREME_AMOUNT,1,1,1,BOTH_DETECTED
668,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
76,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
5,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
879,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
589,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
942,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
601,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
884,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
823,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
824,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
81,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
332,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
737,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
613,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
595,EXTREME_AMOUNT,1,1,1,BOTH_DETECTED
215,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
84,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
363,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
519,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
221,EXTREME_AMOUNT,1,0,1,BR_ONLY
209,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
789,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
836,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
66,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
655,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
298,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
974,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
549,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
936,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
199,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
783,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
495,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
380,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
259,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
486,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
247,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
543,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
10,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
88,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
892,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
250,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
307,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
599,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
155,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
975,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
578,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
604,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
365,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
527,EXTREME_AMOUNT,1,0,0,BOTH_MISSED
590,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
213,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
281,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
652,NEGATIVE_AMOUNT,1,0,1,BR_ONLY
596,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
626,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
837,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
254,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
77,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
499,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
544,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
535,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
740,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
695,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
522,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
513,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
534,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
660,NEGATIVE_AMOUNT,1,0,1,BR_ONLY
664,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
63,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
731,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
350,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
355,NEGATIVE_AMOUNT,1,0,1,BR_ONLY
9,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
260,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
883,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
761,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
767,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
899,NEGATIVE_AMOUNT,1,1,1,BOTH_DETECTED
462,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
299,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
314,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
559,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
947,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
139,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
523,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
275,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
30,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
286,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
998,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
946,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
7,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
436,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
907,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
810,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
985,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
82,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
296,NEGATIVE_AMOUNT,1,0,1,BR_ONLY
868,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
428,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
575,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
319,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
204,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
635,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
468,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
679,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
107,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
310,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
318,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
816,NEGATIVE_AMOUNT,1,0,0,BOTH_MISSED
986,ZERO_AMOUNT,1,0,0,BOTH_MISSED
398,ZERO_AMOUNT,1,0,0,BOTH_MISSED
174,ZERO_AMOUNT,1,0,0,BOTH_MISSED
827,ZERO_AMOUNT,1,0,0,BOTH_MISSED
