evaluation_id,CLM_ID,CLM_LINE_NUM,expected_BR_DATE_001,expected_BR_DATE_002,expected_BR_AMT_001,expected_BR_AMT_002,expected_violation_count,scenario
EVAL_CLM_000001,EVAL_CLM_000001,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000002,EVAL_CLM_000002,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000003,EVAL_CLM_000003,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000004,EVAL_CLM_000004,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000005,EVAL_CLM_000005,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000006,EVAL_CLM_000006,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000007,EVAL_CLM_000007,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000008,EVAL_CLM_000008,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000009,EVAL_CLM_000009,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000010,EVAL_CLM_000010,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000011,EVAL_CLM_000011,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000012,EVAL_CLM_000012,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000013,EVAL_CLM_000013,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000014,EVAL_CLM_000014,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000015,EVAL_CLM_000015,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000016,EVAL_CLM_000016,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000017,EVAL_CLM_000017,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000018,EVAL_CLM_000018,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000019,EVAL_CLM_000019,7,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000020,EVAL_CLM_000020,11,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000021,EVAL_CLM_000021,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000022,EVAL_CLM_000022,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000023,EVAL_CLM_000023,14,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000024,EVAL_CLM_000024,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000025,EVAL_CLM_000025,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000026,EVAL_CLM_000026,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000027,EVAL_CLM_000027,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000028,EVAL_CLM_000028,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000029,EVAL_CLM_000029,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000030,EVAL_CLM_000030,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000031,EVAL_CLM_000031,6,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000032,EVAL_CLM_000032,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000033,EVAL_CLM_000033,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000034,EVAL_CLM_000034,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000035,EVAL_CLM_000035,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000036,EVAL_CLM_000036,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000037,EVAL_CLM_000037,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000038,EVAL_CLM_000038,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000039,EVAL_CLM_000039,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000040,EVAL_CLM_000040,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000041,EVAL_CLM_000041,7,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000042,EVAL_CLM_000042,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000043,EVAL_CLM_000043,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000044,EVAL_CLM_000044,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000045,EVAL_CLM_000045,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000046,EVAL_CLM_000046,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000047,EVAL_CLM_000047,8,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000048,EVAL_CLM_000048,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000049,EVAL_CLM_000049,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000050,EVAL_CLM_000050,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000051,EVAL_CLM_000051,6,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000052,EVAL_CLM_000052,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000053,EVAL_CLM_000053,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000054,EVAL_CLM_000054,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000055,EVAL_CLM_000055,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000056,EVAL_CLM_000056,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000057,EVAL_CLM_000057,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000058,EVAL_CLM_000058,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000059,EVAL_CLM_000059,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000060,EVAL_CLM_000060,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000061,EVAL_CLM_000061,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000062,EVAL_CLM_000062,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000063,EVAL_CLM_000063,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000064,EVAL_CLM_000064,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000065,EVAL_CLM_000065,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000066,EVAL_CLM_000066,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000067,EVAL_CLM_000067,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000068,EVAL_CLM_000068,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000069,EVAL_CLM_000069,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000070,EVAL_CLM_000070,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000071,EVAL_CLM_000071,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000072,EVAL_CLM_000072,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000073,EVAL_CLM_000073,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000074,EVAL_CLM_000074,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000075,EVAL_CLM_000075,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000076,EVAL_CLM_000076,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000077,EVAL_CLM_000077,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000078,EVAL_CLM_000078,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000079,EVAL_CLM_000079,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000080,EVAL_CLM_000080,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000081,EVAL_CLM_000081,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000082,EVAL_CLM_000082,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000083,EVAL_CLM_000083,6,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000084,EVAL_CLM_000084,6,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000085,EVAL_CLM_000085,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000086,EVAL_CLM_000086,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000087,EVAL_CLM_000087,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000088,EVAL_CLM_000088,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000089,EVAL_CLM_000089,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000090,EVAL_CLM_000090,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000091,EVAL_CLM_000091,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000092,EVAL_CLM_000092,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000093,EVAL_CLM_000093,7,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000094,EVAL_CLM_000094,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000095,EVAL_CLM_000095,6,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000096,EVAL_CLM_000096,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000097,EVAL_CLM_000097,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000098,EVAL_CLM_000098,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000099,EVAL_CLM_000099,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000100,EVAL_CLM_000100,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000101,EVAL_CLM_000101,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000102,EVAL_CLM_000102,9,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000103,EVAL_CLM_000103,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000104,EVAL_CLM_000104,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000105,EVAL_CLM_000105,8,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000106,EVAL_CLM_000106,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000107,EVAL_CLM_000107,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000108,EVAL_CLM_000108,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000109,EVAL_CLM_000109,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000110,EVAL_CLM_000110,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000111,EVAL_CLM_000111,2,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000112,EVAL_CLM_000112,5,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000113,EVAL_CLM_000113,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000114,EVAL_CLM_000114,1,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000115,EVAL_CLM_000115,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000116,EVAL_CLM_000116,4,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000117,EVAL_CLM_000117,3,PASS,PASS,PASS,PASS,0,CLEAN
EVAL_CLM_000118,EVAL_CLM_000118,4,PASS,PASS,PASS,PASS,0,CLEAN
